step,posterior_p_L,profit_Y,profit_S,contract
0,0.5,46.25,13.0,Y
1,0.25,44.375,11.5,Y
2,0.125,43.4375,10.75,Y
3,0.0625,42.96875,10.375,Y
4,0.03125,42.734375,10.1875,Y
5,0.015625,42.6171875,10.09375,Y
6,0.0078125,42.55859375,10.046875,Y
7,0.00390625,42.529296875,10.0234375,Y
8,0.001953125,42.5146484375,10.01171875,Y
9,0.0009765625,42.50732421875,10.005859375,Y
10,0.00048828125,42.503662109375,10.0029296875,Y
11,0.000244140625,42.5018310546875,10.00146484375,Y
12,0.0001220703125,42.50091552734375,10.000732421875,Y
13,6.103515625e-05,42.500457763671875,10.0003662109375,Y
14,3.0517578125e-05,42.50022888183594,10.00018310546875,Y
15,1.52587890625e-05,42.50011444091797,10.000091552734375,Y
16,7.62939453125e-06,42.500057220458984,10.000045776367188,Y
17,3.814697265625e-06,42.50002861022949,10.000022888183594,Y
18,1.9073486328125e-06,42.500014305114746,10.000011444091797,Y
19,9.5367431640625e-07,42.50000715255737,10.000005722045898,Y
20,4.76837158203125e-07,42.50000357627869,10.00000286102295,Y
21,2.384185791015625e-07,42.50000178813934,10.000001430511475,Y
22,1.1920928955078125e-07,42.50000089406967,10.000000715255737,Y
23,5.960464477539063e-08,42.500000447034836,10.000000357627869,Y
24,2.9802322387695312e-08,42.50000022351742,10.000000178813934,Y
25,1.4901161193847656e-08,42.50000011175871,10.000000089406967,Y
26,7.450580596923828e-09,42.500000055879354,10.000000044703484,Y
27,3.725290298461914e-09,42.50000002793968,10.000000022351742,Y
28,1.862645149230957e-09,42.50000001396984,10.000000011175871,Y
29,9.313225746154785e-10,42.50000000698492,10.000000005587935,Y
30,4.656612873077393e-10,42.50000000349246,10.000000002793968,Y
31,2.3283064365386963e-10,42.50000000174623,10.000000001396984,Y
32,1.1641532182693481e-10,42.500000000873115,10.000000000698492,Y
33,5.820766091346741e-11,42.50000000043656,10.000000000349246,Y
34,2.9103830456733704e-11,42.50000000021828,10.000000000174623,Y
35,1.4551915228366852e-11,42.50000000010914,10.000000000087311,Y
36,7.275957614183426e-12,42.50000000005457,10.000000000043656,Y
37,3.637978807091713e-12,42.500000000027285,10.000000000021828,Y
38,1.8189894035458565e-12,42.50000000001364,10.000000000010914,Y
39,9.094947017729282e-13,42.50000000000682,10.000000000005457,Y
40,4.547473508864641e-13,42.50000000000341,10.000000000002728,Y
41,2.2737367544323206e-13,42.500000000001705,10.000000000001364,Y
42,1.1368683772161603e-13,42.50000000000085,10.000000000000682,Y
43,5.684341886080802e-14,42.500000000000426,10.000000000000341,Y
44,2.842170943040401e-14,42.50000000000021,10.00000000000017,Y
45,1.4210854715202004e-14,42.50000000000011,10.000000000000085,Y
46,7.105427357601002e-15,42.50000000000006,10.000000000000043,Y
47,3.552713678800501e-15,42.50000000000003,10.000000000000021,Y
48,1.7763568394002505e-15,42.500000000000014,10.00000000000001,Y
49,8.881784197001252e-16,42.50000000000001,10.000000000000005,Y
