step,posterior_p_L,profit_Y,profit_S,contract
0,0.7,27.75,14.2,Y
1,0.35,25.125,12.1,Y
2,0.175,23.8125,11.05,Y
3,0.0875,23.15625,10.525,Y
4,0.04375,22.828125,10.2625,Y
5,0.021875,22.6640625,10.13125,Y
6,0.0109375,22.58203125,10.065625,Y
7,0.00546875,22.541015625,10.0328125,Y
8,0.002734375,22.5205078125,10.01640625,Y
9,0.0013671875,22.51025390625,10.008203125,Y
10,0.00068359375,22.505126953125,10.0041015625,Y
11,0.000341796875,22.5025634765625,10.00205078125,Y
12,0.0001708984375,22.50128173828125,10.001025390625,Y
13,8.544921875e-05,22.500640869140625,10.0005126953125,Y
14,4.2724609375e-05,22.500320434570312,10.00025634765625,Y
15,2.13623046875e-05,22.500160217285156,10.000128173828125,Y
16,1.068115234375e-05,22.500080108642578,10.000064086914062,Y
17,5.340576171875e-06,22.50004005432129,10.000032043457031,Y
18,2.6702880859375e-06,22.500020027160645,10.000016021728516,Y
19,1.33514404296875e-06,22.500010013580322,10.000008010864258,Y
20,6.67572021484375e-07,22.50000500679016,10.000004005432128,Y
21,3.337860107421875e-07,22.50000250339508,10.000002002716064,Y
22,1.6689300537109374e-07,22.50000125169754,10.000001001358033,Y
23,8.344650268554687e-08,22.50000062584877,10.000000500679016,Y
24,4.1723251342773435e-08,22.500000312924385,10.000000250339507,Y
25,2.0861625671386717e-08,22.500000156462193,10.000000125169754,Y
26,1.0430812835693359e-08,22.500000078231096,10.000000062584878,Y
27,5.215406417846679e-09,22.500000039115548,10.000000031292439,Y
28,2.6077032089233397e-09,22.500000019557774,10.000000015646219,Y
29,1.3038516044616698e-09,22.500000009778887,10.00000000782311,Y
30,6.519258022308349e-10,22.500000004889444,10.000000003911556,Y
31,3.2596290111541746e-10,22.50000000244472,10.000000001955778,Y
32,1.6298145055770873e-10,22.50000000122236,10.000000000977888,Y
33,8.149072527885436e-11,22.50000000061118,10.000000000488944,Y
34,4.074536263942718e-11,22.50000000030559,10.000000000244473,Y
35,2.037268131971359e-11,22.500000000152795,10.000000000122236,Y
36,1.0186340659856796e-11,22.500000000076398,10.000000000061117,Y
37,5.093170329928398e-12,22.5000000000382,10.000000000030559,Y
38,2.546585164964199e-12,22.5000000000191,10.00000000001528,Y
39,1.2732925824820995e-12,22.50000000000955,10.00000000000764,Y
40,6.366462912410497e-13,22.500000000004775,10.00000000000382,Y
41,3.1832314562052486e-13,22.500000000002387,10.00000000000191,Y
42,1.5916157281026243e-13,22.500000000001194,10.000000000000956,Y
43,7.958078640513122e-14,22.500000000000597,10.000000000000478,Y
44,3.979039320256561e-14,22.5000000000003,10.000000000000238,Y
45,1.9895196601282804e-14,22.50000000000015,10.000000000000119,Y
46,9.947598300641402e-15,22.500000000000075,10.00000000000006,Y
47,4.973799150320701e-15,22.500000000000036,10.00000000000003,Y
48,2.4868995751603505e-15,22.50000000000002,10.000000000000014,Y
49,1.2434497875801752e-15,22.500000000000007,10.000000000000007,Y
