step,posterior_p_L,profit_Y,profit_S,contract
0,0.5,51.25,17.0,Y
1,0.25,49.375,15.5,Y
2,0.125,48.4375,14.75,Y
3,0.0625,47.96875,14.375,Y
4,0.03125,47.734375,14.1875,Y
5,0.015625,47.6171875,14.09375,Y
6,0.0078125,47.55859375,14.046875,Y
7,0.00390625,47.529296875,14.0234375,Y
8,0.001953125,47.5146484375,14.01171875,Y
9,0.0009765625,47.50732421875,14.005859375,Y
10,0.00048828125,47.503662109375,14.0029296875,Y
11,0.000244140625,47.5018310546875,14.00146484375,Y
12,0.0001220703125,47.50091552734375,14.000732421875,Y
13,6.103515625e-05,47.500457763671875,14.0003662109375,Y
14,3.0517578125e-05,47.50022888183594,14.00018310546875,Y
15,1.52587890625e-05,47.50011444091797,14.000091552734375,Y
16,7.62939453125e-06,47.500057220458984,14.000045776367188,Y
17,3.814697265625e-06,47.50002861022949,14.000022888183594,Y
18,1.9073486328125e-06,47.500014305114746,14.000011444091797,Y
19,9.5367431640625e-07,47.50000715255737,14.000005722045898,Y
20,4.76837158203125e-07,47.50000357627869,14.00000286102295,Y
21,2.384185791015625e-07,47.50000178813934,14.000001430511475,Y
22,1.1920928955078125e-07,47.50000089406967,14.000000715255737,Y
23,5.960464477539063e-08,47.500000447034836,14.000000357627869,Y
24,2.9802322387695312e-08,47.50000022351742,14.000000178813934,Y
25,1.4901161193847656e-08,47.50000011175871,14.000000089406967,Y
26,7.450580596923828e-09,47.500000055879354,14.000000044703484,Y
27,3.725290298461914e-09,47.50000002793968,14.000000022351742,Y
28,1.862645149230957e-09,47.50000001396984,14.000000011175871,Y
29,9.313225746154785e-10,47.50000000698492,14.000000005587935,Y
30,4.656612873077393e-10,47.50000000349246,14.000000002793968,Y
31,2.3283064365386963e-10,47.50000000174623,14.000000001396984,Y
32,1.1641532182693481e-10,47.500000000873115,14.000000000698492,Y
33,5.820766091346741e-11,47.50000000043656,14.000000000349246,Y
34,2.9103830456733704e-11,47.50000000021828,14.000000000174623,Y
35,1.4551915228366852e-11,47.50000000010914,14.000000000087311,Y
36,7.275957614183426e-12,47.50000000005457,14.000000000043656,Y
37,3.637978807091713e-12,47.500000000027285,14.000000000021828,Y
38,1.8189894035458565e-12,47.50000000001364,14.000000000010914,Y
39,9.094947017729282e-13,47.50000000000682,14.000000000005457,Y
40,4.547473508864641e-13,47.50000000000341,14.000000000002728,Y
41,2.2737367544323206e-13,47.500000000001705,14.000000000001364,Y
42,1.1368683772161603e-13,47.50000000000085,14.000000000000682,Y
43,5.684341886080802e-14,47.500000000000426,14.000000000000341,Y
44,2.842170943040401e-14,47.50000000000021,14.00000000000017,Y
45,1.4210854715202004e-14,47.50000000000011,14.000000000000085,Y
46,7.105427357601002e-15,47.50000000000005,14.000000000000043,Y
47,3.552713678800501e-15,47.50000000000003,14.000000000000021,Y
48,1.7763568394002505e-15,47.500000000000014,14.00000000000001,Y
49,8.881784197001252e-16,47.50000000000001,14.000000000000005,Y
