step,posterior_p_L,profit_Y,profit_S,contract
0,0.3,44.75,11.8,Y
1,0.15,43.625,10.9,Y
2,0.075,43.0625,10.45,Y
3,0.0375,42.78125,10.225,Y
4,0.01875,42.640625,10.1125,Y
5,0.009375,42.5703125,10.05625,Y
6,0.0046875,42.53515625,10.028125,Y
7,0.00234375,42.517578125,10.0140625,Y
8,0.001171875,42.5087890625,10.00703125,Y
9,0.0005859375,42.50439453125,10.003515625,Y
10,0.00029296875,42.502197265625,10.0017578125,Y
11,0.000146484375,42.5010986328125,10.00087890625,Y
12,7.32421875e-05,42.50054931640625,10.000439453125,Y
13,3.662109375e-05,42.500274658203125,10.0002197265625,Y
14,1.8310546875e-05,42.50013732910156,10.00010986328125,Y
15,9.1552734375e-06,42.50006866455078,10.000054931640625,Y
16,4.57763671875e-06,42.50003433227539,10.000027465820313,Y
17,2.288818359375e-06,42.500017166137695,10.000013732910157,Y
18,1.1444091796875e-06,42.50000858306885,10.000006866455077,Y
19,5.7220458984375e-07,42.500004291534424,10.000003433227539,Y
20,2.86102294921875e-07,42.50000214576721,10.00000171661377,Y
21,1.430511474609375e-07,42.500001072883606,10.000000858306885,Y
22,7.152557373046875e-08,42.5000005364418,10.000000429153442,Y
23,3.5762786865234374e-08,42.5000002682209,10.00000021457672,Y
24,1.7881393432617187e-08,42.50000013411045,10.000000107288361,Y
25,8.940696716308593e-09,42.500000067055225,10.00000005364418,Y
26,4.470348358154297e-09,42.50000003352761,10.00000002682209,Y
27,2.2351741790771484e-09,42.500000016763806,10.000000013411045,Y
28,1.1175870895385742e-09,42.5000000083819,10.000000006705523,Y
29,5.587935447692871e-10,42.50000000419095,10.000000003352762,Y
30,2.7939677238464354e-10,42.500000002095476,10.00000000167638,Y
31,1.3969838619232177e-10,42.50000000104774,10.00000000083819,Y
32,6.984919309616089e-11,42.50000000052387,10.000000000419096,Y
33,3.492459654808044e-11,42.500000000261934,10.000000000209548,Y
34,1.746229827404022e-11,42.50000000013097,10.000000000104773,Y
35,8.73114913702011e-12,42.500000000065484,10.000000000052387,Y
36,4.365574568510055e-12,42.50000000003274,10.000000000026194,Y
37,2.1827872842550277e-12,42.50000000001637,10.000000000013097,Y
38,1.0913936421275138e-12,42.500000000008185,10.000000000006548,Y
39,5.456968210637569e-13,42.50000000000409,10.000000000003274,Y
40,2.7284841053187846e-13,42.500000000002046,10.000000000001638,Y
41,1.3642420526593923e-13,42.50000000000102,10.000000000000819,Y
42,6.821210263296962e-14,42.50000000000051,10.000000000000409,Y
43,3.410605131648481e-14,42.500000000000256,10.000000000000204,Y
44,1.7053025658242404e-14,42.50000000000013,10.000000000000103,Y
45,8.526512829121202e-15,42.500000000000064,10.000000000000052,Y
46,4.263256414560601e-15,42.500000000000036,10.000000000000025,Y
47,2.1316282072803005e-15,42.500000000000014,10.000000000000012,Y
48,1.0658141036401502e-15,42.5,10.000000000000007,Y
49,5.329070518200751e-16,42.50000000000001,10.000000000000004,Y
